"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"Brd",0,1.00979920148773,0,0,0.50335802855414,0.254958958084075,0,0,0,0
"brn",106.135332044335,170.117424339118,147.721770202434,116.531534384277,126.13562706481,135.449589841083,120.346471949417,326.730423198694,180.73401888011,151.669437422065
"Bsg25A",0,0.673199467658489,0.741206306473504,0,0,0,0,0,0,0
"Bsg25D",1290.32693036519,901.314827662889,1205.52193784207,512.630436198044,812.226000877204,772.656233506483,681.631676798029,754.531140920844,961.656490577228,914.147512363607
"bsk",1090.71243096113,1565.13194622599,1598.2030236608,1122.97909765555,1121.43069797955,1698.12468837152,1413.0494956642,1288.94048323654,1282.07048215195,1721.43917665648
"btd",0,0,0.494137537649003,1.2522167837769,0,0.254958958084075,0,0.599313803298263,0,0.594701936909401
"bur",1737.70094239264,1593.87023554146,1431.30079011302,2145.10176846066,1421.64730369084,1673.39473141081,1526.63731748361,1168.8173977591,1293.21733692917,1211.74887793391
"bw",14.6621544675642,17.8660911619749,15.0522303956075,15.2942942828383,19.0420383093927,19.4815027378047,18.2696219698829,28.1754666500045,24.206569502011,17.119973600029
"by",2754.95082121673,1956.53823310367,2241.77471393648,2109.47007280523,1970.12816268567,1609.93120489191,1607.87671273686,1852.0569155899,1719.57587939971,1991.86566550282
"c(3)G",43.3162302652752,61.9184937635752,52.304419572333,55.4139137294193,52.6298880529224,59.6604955890377,92.4871383528404,33.1111392232899,67.1092007312306,57.1107496088886
"ca",1382.40886419388,1171.98900607708,1415.49553356431,1039.65217586873,1131.89815980162,1160.33301773862,922.923501295522,1025.51227729875,994.568075932691,1020.26998494783
"cact",1932.88617185298,1984.53240390449,1882.82372922987,1573.50887157797,1324.6932284256,2069.30240175409,1866.66239665483,2216.10475683793,2165.24614209302,1919.15051504134
"cad",21.1985695017191,678.687253349979,3754.42990520978,119.359079444012,20.8176641172484,114.034001148425,1375.96281266128,1680.51402208946,2732.93461484106,3950.29382531811
"Cam",23444.271873709,18392.6895544662,31577.396627928,20559.8788936784,28838.700072512,16094.311783476,25680.5426513479,33779.2968792813,32304.4567791709,38812.1283169179
"capu",4617.12447022345,1819.27528582974,2612.27240319165,2913.68470503206,3262.75365609637,1502.09565932619,1268.54288216903,1341.60724918369,1968.76983607097,2451.98898779053
"car",455.586619403135,575.314035668129,504.593684916957,472.073085500381,565.865838376851,703.845025386328,529.998339333327,430.453078460054,423.784779019954,505.389640033948
"CkIIbeta",1975.78435926129,2377.37659559122,2168.5478036885,2104.36933501989,2049.71476591553,2447.92636916315,2287.78286422158,2421.43076944329,2131.37916550925,1886.88939121524
"Cat",8998.11387807112,3182.49442875309,7908.10687817317,8409.75924464649,13319.0629791289,3999.14462329,3553.35483688147,3385.82872390609,8521.19380026578,17761.843315496
